epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6914,3.23628,5.5634,2.0954,0.00031,0.13109,0.00233,0.00063,3.35816,6.30937,1.98769,0.000300342,0.000300342,0.000300342
2,71.7866,2.85991,4.40227,1.75421,0.37292,0.03889,0.02042,0.00497,2.80695,5.00563,1.85042,0.000573477,0.000573477,0.000573477
3,105.013,2.73342,3.81748,1.7067,0.20962,0.07087,0.01835,0.00533,2.73407,4.33076,1.71461,0.000816614,0.000816614,0.000816614
4,138.912,2.64856,3.4792,1.6555,0.22832,0.06915,0.05015,0.01536,2.69884,3.84007,1.77658,0.000774013,0.000774013,0.000774013
5,173.227,2.64389,3.30151,1.64999,0.11191,0.16826,0.10873,0.03602,2.52186,3.31242,1.67419,0.000729018,0.000729018,0.000729018
6,208.206,2.51025,2.97442,1.58814,0.134,0.17027,0.11502,0.03601,2.48988,3.20853,1.58631,0.000684022,0.000684022,0.000684022
7,242.818,2.44417,2.83375,1.55626,0.51635,0.15717,0.13162,0.04539,2.53564,3.12278,1.71541,0.000639027,0.000639027,0.000639027
8,278.651,2.41805,2.72526,1.53956,0.55307,0.15559,0.15328,0.05154,2.50746,2.9017,1.60045,0.000594031,0.000594031,0.000594031
9,313.523,2.35093,2.64463,1.52405,0.1828,0.19968,0.14488,0.04965,2.48845,2.7911,1.67236,0.000549036,0.000549036,0.000549036
10,348.35,2.3333,2.55287,1.50714,0.35139,0.22606,0.16985,0.06485,2.47159,2.69982,1.62499,0.00050404,0.00050404,0.00050404
